ts	phase	decision	why	evidence	result
2026-09-02T19:45:55Z	frame	port the Node statusline to a compiled language, shipped through npm as a native binary	user asked for Rust or Go with install simplicity as the deciding factor; the port removes the runtime Node dependency and the shell launcher that hunts for node	README.md install section at 4a7f521	predicate: same bytes out as the Node version over a fixture matrix, all existing tests ported, npm install -g yields a native binary on linux and macos x64 and arm64
2026-09-02T19:45:55Z	frame	chose Go over Rust	ran a probe: Go cross-compiled all five targets from one Linux box in about 7s each with HTTPS, JSON and exec from the stdlib; Rust needed per-target toolchains and failed 3 of 4 non-native targets here; startup 2.8ms Go vs 1.3ms Rust vs 26ms Node, both compiled options are far below what a statusline can notice; binary 6.5MB Go vs 1.7MB Rust is fine for a per-platform npm package	scratchpad probe-go and probe-rs, timings in the session transcript	Go
2026-09-02T19:45:55Z	frame	skipped an architect arena for the language and the module shape	the language question was settled by observation instead of a panel, and the port keeps the existing module layout which already separates pure rendering from I/O	src/*.mjs at 4a7f521	skip, one-way door settled by the probe
2026-09-02T19:45:55Z	design	npm layout: root package carries a JS shim and a postinstall, per-platform optional packages carry the binary, postinstall copies the binary over the shim	same pattern esbuild uses, so the installed command runs without node at all and works from Claude Code's non-interactive shell	scripts/build-npm.mjs, npm/install.js	open
2026-09-02T19:45:55Z	design	two writer lanes on the configured codex sol lane: pure rendering files and I/O files, both against one compiled scaffold I write first	the seam between pure and I/O code is real, both lanes compile against the same types, and the scaffold is the architect artifact	.audit/go-port.tsv this row, scaffold commit to follow	open
2026-09-02T19:54:15Z	lanes	relaunched both codex lanes with a non-interactive header after the first run of each stopped to ask for plan approval	the runner gives a lane exactly one turn, so a lane that asks a question produces nothing	scratchpad lanes/a.out and b.out, receipts a.receipt.json b.receipt.json	first attempt dropped, second attempt running
2026-09-02T19:54:15Z	harness	wrote scripts/equivalence.sh that checks the Node version out of git at 4a7f521 and diffs it against the Go binary over 14 configs x 12 widths, 10 payload shapes, 4 git states, colour on and off, and the legend, ramp, doctor and refresh paths	the port's claim is byte parity, and a committed script is the check a reviewer can rerun	scripts/equivalence.sh	written, runs once the lanes land
2026-09-02T19:57:35Z	packaging	dropped the postinstall that copied the binary over the JS launcher; added a --setup flag instead that writes the binary's own absolute path into Claude Code's settings.json	a local global install with npm 12 showed install scripts are blocked by default (npm warn install-scripts), so the esbuild-style swap never runs for most users and every frame would pay a Node startup; pointing the statusline straight at the binary needs no script and no PATH	scratchpad npmtest install log in the session transcript; scripts/install-smoke.sh	postinstall removed, --setup to be implemented after the lanes land
2026-09-02T20:23:06Z	lanes	took lane A's uncommitted work after its codex process exited 1 at 20 minutes, reviewed all five files against the Node source, committed it on lane-a and merged	the port was complete with no stubs left and built clean; only one config-shape test failed, and re-running the lane would have redone the same work	commit 50bdd05, receipt lanes/a2.receipt.json status child-failed	merged as 48bb285
2026-09-02T20:23:06Z	review	fixed five parity gaps found reading lane A's code: null glyphs, null ramp at, infinite percent, negative zero, toFixed tie rounding	each is a place where Go's default differs from JavaScript's; the first toFixed fix (scale by 100 then round) was itself wrong for 2.675 and was replaced by an exact big.Float computation	parity_test.go, config_test.go	tests green
2026-09-02T20:33:32Z	lanes	took lane B's uncommitted work; its codex process could not commit because the sandbox has no write access to the repository's shared metadata directory, which also explains lane A's exit	the work was complete and every non-CLI test passed in its worktree; I committed it on lane-b and merged	commit ece70ae, receipt lanes/b2.receipt.json, lanes/b2.out	merged as a466dd0
2026-09-02T20:33:32Z	review	after merging lane B, deleted its duplicate timestamp JSON wrappers in usage.go (lane A had already put that on the Timestamp type), replaced the hand-rolled stdout pipe for the repository status command with cmd.Output, hoisted its regexes to package level, dropped the astral-char case from the cursor filename sanitiser	each lane wrote against stubs and could not see the other's choices; the merged code has one owner for each concern	commit to follow	go test green
2026-09-02T20:33:35Z	verify	equivalence harness: 226 cases identical between the Go binary and the Node version at 4a7f521	three documented divergences are normalised in the script: the extra binary line in --doctor, the cache age in seconds between the two runs, the JSON parser's error wording; and the Node context-line clip that cut a Nerd Font glyph in half (UTF-16 slice) is dropped from both sides	scripts/equivalence.sh, run output in the session transcript	VERIFIED
2026-09-02T20:33:35Z	verify	install smoke: npm install -g from local tarballs, the npm command renders, --setup writes the platform package binary path into settings.json and that binary renders	this is the path a user takes; the npm 12 blocked-scripts finding made it the thing to prove	scripts/install-smoke.sh, run output in the session transcript	VERIFIED on linux-x64
2026-09-02T20:34:23Z	verify	live check: --refresh-usage with my real Claude Code token fetched the usage API and cached one Fable bucket at 29 percent; --doctor found the token; a render showed the bucket in truecolor	the harness cannot exercise the network path, so this is the only proof the token reading and HTTP client work against the real endpoint	session transcript	VERIFIED
2026-09-02T20:34:23Z	verify	timing: full render of the fixture at 160 columns, 3.7ms Go vs 49ms Node, 100 and 30 runs	the README claims a few milliseconds per frame	scratchpad bench.sh, session transcript	13x faster per frame
2026-09-02T20:36:43Z	review	launched the interrogate panel (fable high, codex sol high, opus xhigh) as read-only lanes over the diff, a comment-sicko pass, and a codex sol read-only review of this decision trail against the transcript	the port's parity claim rests on a harness I wrote; cross-model readers are the check on my own blind spots before the PR	scratchpad review/*.out.md and receipts	running
